step,observation,evidence,decision
0-Setup,"Dataset loaded: 384,977 rows x 22 columns",df.shape after pd.read_csv,Use df_raw as untouched reference; all work on df copy
1-Structure,"384,977 rows x 22 columns; mix of numeric, binary, categorical, identifier and text fields","df.shape, df.info(), data dictionary",Handle each variable type with its own preprocessing path
1-Structure,region has 404 categories of mixed geographic granularity,"df['region'].nunique(), region value_counts",One-hot encoding impractical; consider grouping or target encoding fitted on train only
1-Structure,"region names are not unique locations: some names map to up to 3 Craigslist sites (e.g. jacksonville, columbus, rochester exist in multiple states)",region vs region_url mapping check (1.7),"Create unique location key from region_url (or region + state); drop id, url, image_url from features"
1-Structure,Binary flags stored as integers; beds/baths are discrete,df.dtypes vs true variable types,Treat flags as categorical 0/1; keep beds/baths numeric
1-Structure,"price ranges from 0 to 2,768,307,249",describe() on numeric columns,Investigate target extremes in Step 2
2-Target,"price is extremely right-skewed: mean $8,826 vs median $1,036; max $2,768,307,249",2.1 summary statistics and extreme quantiles,"Describe rent with the median, not the mean; report robust metrics (MAE, median absolute error) alongside RMSE"
2-Target,"1,307 listings at $0 and 731 at $1 (2,214 below $100 in total); examples are real apartments with no price entered","2.2 threshold counts, 2.3 repeated values, 2.4 example listings","Placeholders, not rents: remove rows with price < $100 before the train/test split"
2-Target,"269 listings above $10,000: a mix of genuine luxury homes (large houses in LA, Seattle, SF Bay), sale prices of homes posted as rentals, and nonsense values","2.2 threshold counts, 2.4 example listings, 2.5 full-range histogram","Remove rows with price > $10,000; state in the report that the system is scoped to rents up to $10,000 (too few luxury rows for a model to learn from)"
2-Target,Some listings are properties for SALE posted in the rental section (e.g. manufactured homes 'for sale' with a separate lot rent),"2.3 repeated values (e.g. $78,500 x 25), 2.4 example descriptions","In Step 5, search descriptions for sale wording, since cheaper sale listings may sit inside the valid range"
2-Target,"The same absurd price $679,710 appears 30 times, all from one complex (jacksonville, NC)","2.3 repeated values, 2.4 example listings",Evidence of one listing reposted many times; quantify duplicates in Step 4
2-Target,"Plausibility rule $100-$10,000 removes 2,483 rows (0.64%)",2.6 comparison of candidate rules,"Fixed domain rule (not learned from data), so applying it before the split does not cause leakage"
2-Target,Log transform alone does not fix the target: log skew is -5.14 before filtering (pulled by $0/$1) vs 0.31 after; raw skew of valid prices is 2.84,"2.6 comparison of candidate rules, 2.7 histograms","Filter invalid prices first, then model log1p(price); convert predictions back with expm1"
2-Target,Q-Q plot: log prices follow a normal shape except a heavier lower tail (rents of roughly $100-$250),2.7 Q-Q plot,"Re-examine very low rents with price per sqft in Step 5 (possible rooms, shared units or weekly rates)"
2-Target,"Log-price deciles hold 9.1%-10.9% of valid listings each; unevenness comes from popular round prices (e.g. $950, $1,000)","2.8 decile table, spiky log1p histogram in 2.7",Stratify the train/test split on log-price deciles (Step 7)
3-Missing,"Gaps in 4 fields only: parking 36.5%, laundry 20.5%, lat/long 0.50%, description 2 rows",3.1 missing-value table and bar chart,Each field gets its own strategy (3.5-3.7); all other columns are complete
3-Missing,Parking is missing in 91% of rows where laundry is missing vs 23% where laundry is present; lat and long always missing together,"3.2 missingno heatmap, 3.3 cross-table","Gaps are linked (poster effort), not independent random failures: not MCAR"
3-Missing,Parking-missing rate ranges from 7% to 65% across states,"3.2 matrix sorted by state, 3.4 missing rate by state and type",Missingness depends on location (MAR); location features help the model account for it
3-Missing,"Blank parking: median rent $1,020 vs $1,057 when present (-3.5%), a small rent difference; within-state median gap -0.7%, same direction in 28 of 49 states","3.5 median comparison, category chart, within-state check",Keep blank parking as its own 'missing' category (separate from the explicit 'no' category); never fill with the most common value
3-Missing,"Blank laundry: median rent $1,010 vs $1,050 when present (-3.8%), a small rent difference; within-state median gap -2.4%, same direction in 33 of 49 states","3.5 median comparison, category chart, within-state check",Keep blank laundry as its own 'missing' category (separate from the explicit 'no' category); never fill with the most common value
3-Missing,"Filling blank parking with the most common value ('off-street parking', median $936) would put 139,796 listings with median $1,020 into a group -8% away from their actual rent level",3.5 (cont.) median rent per category,Confirms mode imputation would mislabel these listings; use a separate 'missing' category
