column / item,"Ridge, k-NN, MLP","Random Forest, LightGBM",evidence (step)
price (target),log1p; predictions back-transformed with expm1 (TransformedTargetRegressor),same,"2, 11"
sqfeet,"log1p, then standardise",raw,"8.2, 10.4"
"beds, baths","numeric counts, standardise, no log; read beds 'at the same size'",raw,"8.3, 10.2"
"lat, long","fill blanks with the region's median (training folds; state fallback), standardise","same fill, no scaling","3, 8.4, 10.3"
region_url,cross-fitted target encoding with smoothing; compare state-prior (grouped cross-fitting) vs TargetEncoder,same,"8.5, 9.7, 10.5, 12.5"
state,one-hot (51 columns),one-hot (or native categorical),"9.6, 10.5"
"type, laundry_options, parking_options","one-hot; blanks -> 'missing'; min_frequency=RARE_MIN_COUNT, handle_unknown='infrequent_if_exist'",same,"3, 9.4, 11.4"
6 binary flags,"0/1, standardise",0/1,"8.7, 9.5"
student_layout indicator (optional),0/1 from beds and baths; keep only if grouped CV improves,same,"10.7, 11.6"
"excluded: id, url, image_url, region, description",never features,never features,"1, 12.1, 12.3"
group_id,only for GroupKFold folds,same,"7, 12.6"
model selection,GroupKFold(5) on group_id; beat the location-only baseline,same,"7, 11.2, 12.6"
evaluation,"MAE, RMSE, median abs %, R2 (log); per error-analysis group",same,"11.3, 11.7"
